Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
2022-03-29,Tue,WCQ,Third round,Home,W 1 (3)–0 (1),sn Senegal,eg Egypt,Y,AM,120,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2022-04-02,Sat,Premier League,Matchweek 31,Home,W 2–0,Liverpool,Watford,N,RW,22,0,0,0,0,1,0,0,0,11,6,0,0,1,0.1,0.1,0.0,0,0,5,8,62.5,0,3,1,0,1,Match Report
2022-04-05,Tue,Champions Lg,Quarter-finals,Away,W 3–1,eng Liverpool,pt Benfica,Y,FW,60,1,0,0,0,2,1,0,0,37,12,1,0,0,0.7,0.7,0.6,2,0,15,25,60.0,1,28,6,0,1,Match Report
2022-04-10,Sun,Premier League,Matchweek 32,Away,D 2–2,Liverpool,Manchester City,Y,LWFW,83,1,0,0,0,1,1,0,0,43,23,2,0,1,0.3,0.3,0.0,1,0,23,28,82.1,2,28,2,0,1,Match Report
2022-04-13,Wed,Champions Lg,Quarter-finals,Home,D 3–3,eng Liverpool,pt Benfica,N,LW,25,0,0,0,0,0,0,0,0,19,3,0,0,0,0.0,0.0,0.1,2,0,13,16,81.3,4,15,3,1,2,Match Report
2022-04-16,Sat,FA Cup,Semi-finals,Away,W 3–2,Liverpool,Manchester City,Y,FW,84,2,0,0,0,3,3,1,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-04-19,Tue,Premier League,Matchweek 30,Home,W 4–0,Liverpool,Manchester Utd,Y,FW,90,1,1,0,0,2,1,0,0,66,9,0,0,1,0.2,0.2,0.3,4,2,49,55,89.1,5,49,5,1,1,Match Report
2022-04-24,Sun,Premier League,Matchweek 34,Home,W 2–0,Liverpool,Everton,Y,FW,59,0,0,0,0,2,0,1,0,39,2,0,1,1,0.1,0.1,0.0,1,0,24,32,75.0,0,30,3,1,2,Match Report
2022-04-27,Wed,Champions Lg,Semi-finals,Home,W 2–0,eng Liverpool,es Villarreal,Y,FW,71,1,0,0,0,4,1,0,0,35,14,3,1,0,1.1,1.1,0.0,3,0,16,23,69.6,1,24,1,0,0,Match Report
2022-04-30,Sat,Premier League,Matchweek 35,Away,W 1–0,Liverpool,Newcastle Utd,Y,LW,68,0,0,0,0,3,1,1,0,26,8,0,0,0,0.4,0.4,0.1,4,0,15,20,75.0,0,16,3,1,1,Match Report
2022-05-03,Tue,Champions Lg,Semi-finals,Away,W 3–2,eng Liverpool,es Villarreal,Y,FWLW,90,1,0,0,0,1,1,0,0,38,22,1,0,1,0.7,0.7,0.3,8,3,15,24,62.5,3,24,4,3,3,Match Report
2022-05-07,Sat,Premier League,Matchweek 36,Home,D 1–1,Liverpool,Tottenham,Y,FW,90,0,0,0,0,1,1,0,0,51,20,2,0,2,0.0,0.0,0.2,5,1,24,38,63.2,2,38,5,1,2,Match Report
2022-05-10,Tue,Premier League,Matchweek 33,Away,W 2–1,Liverpool,Aston Villa,Y,FWLW,90,1,0,0,0,4,1,0,0,46,16,0,0,1,0.6,0.6,0.1,4,0,25,35,71.4,5,34,7,2,3,Match Report
2022-05-14,Sat,FA Cup,Final,Away,D 0 (6)–0 (5),Liverpool,Chelsea,Y,FW,120,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-05-22,Sun,Premier League,Matchweek 38,Home,W 3–1,Liverpool,Wolves,Y,FW,90,1,0,0,0,3,2,0,0,56,17,2,0,1,0.5,0.5,0.2,4,0,32,44,72.7,4,41,9,2,2,Match Report
2022-05-28,Sat,Champions Lg,Final,Neutral,L 0–1,eng Liverpool,es Real Madrid,Y,FWLW,90,0,0,0,0,3,1,0,0,57,16,2,2,0,0.2,0.2,0.2,8,0,35,43,81.4,5,54,10,2,6,Match Report
2022-06-04,Sat,Africa Cup of Nations qualification,Group stage,Home,W 3–1,sn Senegal,bj Benin,Y,FW,86,3,0,2,2,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2022-06-07,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,sn Senegal,rw Rwanda,Y,FW,90,1,0,1,1,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
